day,u10_mean,u10_max,u10_min,v10_mean,v10_max,v10_min,d2m_mean,d2m_max,d2m_min,t2m_mean,t2m_max,t2m_min,ssrd_mean,ssrd_max,ssrd_min,tp_sum,tp_max,tp_min,Vazao_D0,Vazao_D1,Vazao_D2,Vazao_D3,Vazao_D4,Vazao_D5,Vazao_D6,Vazao_D7,Vazao_D8,Vazao_D9,Vazao_D10,Vazao_D11,Vazao_D12,Vazao_D13,Vazao_D14,Vazao_D15,Vazao_D16,Vazao_D17,Vazao_D18,Vazao_D19,Vazao_D20,Vazao_D21,Vazao_D22,Vazao_D23,Vazao_D24,Vazao_D25,Vazao_D26,Vazao_D27,Vazao_D28,Vazao_D29,Vazao_D30
1998-01-01,-0.3857593541057291,0.1121978767125,-0.91492081875,0.2604262040260416,1.44543455,-1.0844726625,295.44462135416666,297.43051125,294.37864375,298.0442391145833,301.20286125,295.57065625,946384.5,3382056.5,0.0,0.0031962492527120375,0.0006042532624999999,0.0,1.0255,0.9481,0.9481,0.4793,1.412,1.1801,4.9542,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708
1998-01-02,-0.03935750251770831,1.2007751500000001,-1.003509515,-0.26417394179166664,1.6214638,-1.2303988875,295.64943005208335,296.2397475,295.11939375000003,298.45041630208334,302.26064875,296.164735,904294.1875,3346328.0,0.0,0.005578797289001213,0.00278072805,9.965151624999999e-08,0.9481,0.9481,0.4793,1.412,1.1801,4.9542,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389
1998-01-03,0.4752667745052083,1.386211375,-0.415439605,0.35560178728124997,2.7822113125,-0.8528442275,294.8392396354167,295.61712625,294.3111275,297.34089651041666,301.5598825,295.1983025,618744.7916666666,2486011.5,0.0,0.00765117910401875,0.0025497933375,0.0,0.9481,0.4793,1.412,1.1801,4.9542,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599
1998-01-04,0.34336236835937495,0.94355581875,-0.757965095,0.835518119296875,2.6344756625,-0.7054271725,294.22897546875004,295.4393625,293.43217999999996,296.1073541145833,299.2661175,294.38272374999997,742627.6458333334,2763170.25,0.0,0.013744754655762501,0.0033940673,6.6524371375000006e-06,0.4793,1.412,1.1801,4.9542,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599
1998-01-05,-0.8887468980208333,-0.30229568687499997,-1.523946775,0.5127427579609375,1.52659225,-0.34906958875,293.4856320833333,294.53131375,292.8942875,296.1316122395833,299.764505,293.8283725,817862.4791666667,3034606.5,0.0,0.004229947918187487,0.001253560175,2.44905238125e-05,1.412,1.1801,4.9542,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599
1998-01-06,-0.21316274006718744,0.7852630625,-0.97592163125,-0.411125422296875,0.7850594575,-1.2653600875,294.9951472916667,296.570715,293.81858625,298.26862953125,303.77704,294.39776625,1094392.7083333333,3590385.25,0.0,0.0093338825126725,0.0034312643125,-1.3969838625e-09,1.1801,4.9542,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599
1998-01-07,0.52487734859375,1.7845916625,-0.7383203537499999,-0.21934175548437498,1.6653289625,-1.3400726375,295.17170234375,295.82552875,294.55053375,298.5145933854167,304.21435625000004,295.2664175,994422.7083333334,3466632.25,0.0,0.015861271069166988,0.0045341588250000005,-4.656612875e-10,4.9542,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871
1998-01-08,0.35942459107031244,0.940897,-0.139513017625,1.7914128287916666,3.1975313749999996,-0.0507202165,293.4629753645833,295.07941,291.19714125,294.42134442708334,295.74141125,292.41675,172175.29166666666,654388.75,0.0,0.171571224,0.02241080275,0.0014948639874999999,49.4487,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701
1998-01-09,-0.009449640582812464,0.282163618125,-0.34251403874999997,1.835439125,2.3722687125,1.1919155375,290.1070633333333,291.0739175,289.42677,291.6329925,292.676455,290.83319,228825.7708333333,939911.0,0.0,0.0197266526275,0.0021133019875,0.0001706816275,0.5192,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542
1998-01-10,-0.39265557224479164,0.0029296887499999993,-0.94848491,0.8394217085208333,1.5086841624999998,0.37592506324999997,290.68794703125,291.24304374999997,290.24352875,292.3762520833333,294.1025275,291.02893125,257148.60416666666,1009803.0,0.0,0.009751632714125,0.0007118153837500001,4.465959475e-05,10.0073,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542,12.3898
1998-01-11,-0.73752248065625,-0.2244052895,-1.4892721125000001,0.3905654330416667,1.8180122625,-0.83338309125,291.985428125,293.61236875,290.97697375,294.57334786458335,298.398865,291.64413375,811376.6458333334,3325402.0,0.0,0.0016635907787575,0.00065044127125,5.6228602075e-06,4.4405,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542,12.3898,3.4595
1998-01-12,-0.2026928280885416,0.37474823,-0.96269917875,-0.30617014589062497,1.3778953375,-1.5930785875,293.7633106770833,295.0747225,292.5657325,297.05626072916664,302.61786125000003,292.941115,1154916.0625,3697028.25,0.0,0.003727503156027475,0.0014846325,0.0,1.7921,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542,12.3898,3.4595,1.9821
1998-01-13,0.2753565717239583,1.1240452625,-0.9730873,-0.42786189075468745,1.716157875,-1.2810768875,293.78118229166665,294.88049624999996,292.39799875,297.55231437500004,303.2646475,293.28196875,1010387.3333333334,3313132.5,0.0,0.006466313374910325,0.002004712775,-3.9581210625000005e-09,2.1721,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542,12.3898,3.4595,1.9821,20.932
1998-01-14,0.18782683299843744,1.0628832625,-1.6952362,-0.4042383429166666,1.2658538750000001,-1.334121675,294.32250619791665,294.98812875,293.6499625,297.2489125520833,300.85913125,294.38849375,621100.75,2006662.0,0.0,0.0010215928720300874,0.00038906932625,-6.984919125e-10,1.8871,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542,12.3898,3.4595,1.9821,20.932,19.2744
1998-01-15,-0.01704367019166665,0.77548230875,-1.6217098125,-0.5670274091822917,0.47889327375,-1.411977775,294.029655625,294.95818499999996,293.386455,297.4860444270833,301.16401125,294.3048925,845122.6875,2860631.25,0.0,0.0094985179602984,0.003894954925,-3.0267985125e-09,4.82,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542,12.3898,3.4595,1.9821,20.932,19.2744,6.7522
1998-01-16,0.006190419734375013,0.6523065575,-1.2453651374999999,-0.9374783834713541,1.2187347625,-2.1334991624999997,294.31600328125,294.869955,293.635455,297.4928629166667,302.821415,294.6537525,888060.25,3353318.25,0.0,0.01169880390473475,0.0028674267625,-4.656613125e-09,6.1728,6.8971,5.8938,5.6253,2.3621,1.7921,1.412,3.0205,1.9821,1.1028,1.1028,0.9481,0.7935,3.0205,1.507,0.8708,0.6389,0.599,0.599,0.599,0.599,1.8871,17.0701,4.9542,12.3898,3.4595,1.9821,20.932,19.2744,6.7522,3.4595
