Subbasin,Lat,Lon,Elev,Area
1,-22.36,-44.45,703.82,21670.9
2,-22.38,-44.13,568.75,40777.3
3,-22.43,-44.31,466.74,26569.8
4,-22.56,-44.68,818.17,64868.0
5,-22.51,-44.55,770.21,47144.9
6,-22.48,-44.45,549.34,12556.4
7,-22.45,-43.91,484.26,25178.6
8,-22.52,-44.03,456.29,33816.5
9,-22.52,-44.86,877.41,27706.4
10,-22.5,-44.39,470.21,2629.0
11,-22.63,-44.42,713.12,22407.0
12,-22.56,-45.1,916.17,34907.9
13,-22.57,-44.13,473.16,23205.0
14,-22.51,-44.23,489.79,4354.0
15,-22.56,-44.97,654.32,11431.9
16,-22.52,-44.58,491.97,1268.2
17,-22.66,-44.3,637.51,51937.4
18,-22.65,-44.83,731.9,23921.7
19,-22.72,-45.14,739.99,74773.6
20,-22.65,-44.97,612.47,2511.8
21,-22.75,-44.89,882.0,25817.8
22,-22.66,-45.01,537.91,89.3
23,-22.87,-45.34,730.9,119051.7
24,-22.87,-44.85,1166.98,73174.0
25,-23.06,-45.69,657.4,116124.6
26,-22.98,-45.98,929.61,43607.7
27,-22.97,-45.83,849.94,41543.3
28,-22.9,-45.51,580.98,4417.1
29,-22.99,-45.12,935.57,29872.3
30,-23.1,-45.46,741.61,47444.1
31,-23.07,-44.93,1042.13,47625.0
32,-23.08,-46.12,769.37,19760.7
33,-23.14,-45.19,936.43,44079.9
34,-23.27,-45.45,828.33,53713.4
35,-23.15,-46.06,683.61,5872.0
36,-23.23,-45.02,1202.23,27223.4
37,-23.18,-45.97,605.48,7773.0
38,-23.21,-46.07,669.87,8319.8
39,-23.27,-46.25,759.14,52815.6
40,-23.16,-45.9,566.99,574.4
41,-23.25,-45.65,805.02,21702.5
42,-23.26,-45.93,602.06,21548.7
43,-23.26,-45.23,1026.14,20762.6
44,-23.21,-46.03,624.99,562.1
45,-23.37,-46.16,676.01,37657.2
46,-23.38,-45.72,772.95,25520.8
47,-23.37,-45.82,730.14,16430.5
48,-23.4,-45.33,865.83,65122.7
49,-23.35,-45.89,663.26,2758.7
50,-23.41,-46.05,663.41,25935.6
51,-23.44,-45.95,718.12,26332.5
52,-23.4,-45.58,739.94,2161.7
53,-23.46,-45.66,776.9,18590.6
54,-23.53,-45.54,804.13,41302.9
